It: 108000, Loss: 5.609e-03, l1: 0.949, l2: 0.01950, Time: 26.55
It: 109000, Loss: 5.414e-03, l1: 0.950, l2: 0.01945, Time: 26.53
It: 110000, Loss: 5.550e-03, l1: 0.950, l2: 0.01933, Time: 24.00
Model saved to models/Re100wcplong/Re100wcplong_110000.npz
It: 111000, Loss: 5.505e-03, l1: 0.951, l2: 0.01941, Time: 26.50
It: 112000, Loss: 5.217e-03, l1: 0.951, l2: 0.01930, Time: 26.50
It: 113000, Loss: 5.519e-03, l1: 0.951, l2: 0.01924, Time: 26.39
It: 114000, Loss: 5.244e-03, l1: 0.951, l2: 0.01923, Time: 26.43
It: 115000, Loss: 5.407e-03, l1: 0.952, l2: 0.01924, Time: 26.44
It: 116000, Loss: 5.195e-03, l1: 0.952, l2: 0.01917, Time: 26.41
It: 117000, Loss: 5.103e-03, l1: 0.952, l2: 0.01907, Time: 26.37
It: 118000, Loss: 5.018e-03, l1: 0.953, l2: 0.01912, Time: 26.43
It: 119000, Loss: 5.112e-03, l1: 0.953, l2: 0.01909, Time: 26.49
It: 120000, Loss: 5.014e-03, l1: 0.953, l2: 0.01905, Time: 26.44
Model saved to models/Re100wcplong/Re100wcplong_120000.npz
It: 121000, Loss: 5.088e-03, l1: 0.953, l2: 0.01901, Time: 26.49
It: 122000, Loss: 4.913e-03, l1: 0.954, l2: 0.01894, Time: 26.44
It: 123000, Loss: 4.897e-03, l1: 0.954, l2: 0.01895, Time: 26.49
It: 124000, Loss: 4.880e-03, l1: 0.954, l2: 0.01885, Time: 26.44
It: 125000, Loss: 4.861e-03, l1: 0.954, l2: 0.01888, Time: 26.39
It: 126000, Loss: 4.987e-03, l1: 0.954, l2: 0.01882, Time: 26.44
It: 127000, Loss: 4.857e-03, l1: 0.955, l2: 0.01878, Time: 26.46
It: 128000, Loss: 4.862e-03, l1: 0.955, l2: 0.01873, Time: 26.47
It: 129000, Loss: 4.957e-03, l1: 0.955, l2: 0.01869, Time: 26.56
It: 130000, Loss: 4.964e-03, l1: 0.955, l2: 0.01864, Time: 26.58
Model saved to models/Re100wcplong/Re100wcplong_130000.npz
It: 131000, Loss: 4.880e-03, l1: 0.955, l2: 0.01860, Time: 26.39
It: 132000, Loss: 4.774e-03, l1: 0.955, l2: 0.01859, Time: 26.52
It: 133000, Loss: 4.798e-03, l1: 0.955, l2: 0.01861, Time: 26.39
It: 134000, Loss: 4.732e-03, l1: 0.956, l2: 0.01856, Time: 26.39
It: 135000, Loss: 4.689e-03, l1: 0.956, l2: 0.01853, Time: 26.41
It: 136000, Loss: 4.639e-03, l1: 0.956, l2: 0.01849, Time: 26.40
It: 137000, Loss: 4.702e-03, l1: 0.956, l2: 0.01850, Time: 26.40
It: 138000, Loss: 4.762e-03, l1: 0.956, l2: 0.01839, Time: 26.39
It: 139000, Loss: 4.642e-03, l1: 0.956, l2: 0.01841, Time: 26.38
It: 140000, Loss: 4.658e-03, l1: 0.956, l2: 0.01848, Time: 26.45
Model saved to models/Re100wcplong/Re100wcplong_140000.npz
It: 141000, Loss: 4.595e-03, l1: 0.956, l2: 0.01844, Time: 26.41
It: 142000, Loss: 4.472e-03, l1: 0.957, l2: 0.01842, Time: 26.49
It: 143000, Loss: 4.577e-03, l1: 0.957, l2: 0.01836, Time: 26.47
It: 144000, Loss: 4.482e-03, l1: 0.957, l2: 0.01842, Time: 26.45
It: 145000, Loss: 4.421e-03, l1: 0.957, l2: 0.01837, Time: 26.45
It: 146000, Loss: 4.731e-03, l1: 0.957, l2: 0.01838, Time: 26.40
It: 147000, Loss: 4.418e-03, l1: 0.957, l2: 0.01835, Time: 26.37
It: 148000, Loss: 4.594e-03, l1: 0.957, l2: 0.01834, Time: 26.38
It: 149000, Loss: 4.519e-03, l1: 0.958, l2: 0.01838, Time: 26.46
It: 150000, Loss: 4.491e-03, l1: 0.957, l2: 0.01838, Time: 26.51
Model saved to models/Re100wcplong/Re100wcplong_150000.npz
It: 151000, Loss: 4.719e-03, l1: 0.958, l2: 0.01833, Time: 26.51
It: 152000, Loss: 4.528e-03, l1: 0.958, l2: 0.01833, Time: 26.48
It: 153000, Loss: 4.262e-03, l1: 0.958, l2: 0.01838, Time: 26.45
